Study ID,Participant ID,Test ID,Test type,Native,Designer,Font,Correct,Response time,Response time (word),Response time (non-word),AUC,AUC (word),AUC (non-word),JoL,JoM,Date
1.0,0.0,1,lexical,,Letter designer,arial,0.95,1712.45,1032.8,2392.1,1.0,,,very easy to read,34,05-04-2019 12:16
1.0,0.0,1,recognition,,Letter designer,arial,0.875,1823.8125,1737.5,1910.125,0.9765625,1.0,1.0,very easy to read,34,05-04-2019 12:16
1.0,0.0,2,lexical,,Letter designer,sansforgetica,0.85,2122.45,1492.5,2752.4,0.9500000000000001,,,difficult to read,35,05-04-2019 12:16
1.0,0.0,2,recognition,,Letter designer,sansforgetica,0.875,1568.5,1332.625,1804.375,0.9375,0.875,1.0,difficult to read,35,05-04-2019 12:16
1.0,72.0,1,lexical,,Letter designer,sansforgetica,0.85,3556.4,2021.4,5091.4,1.0,,,difficult to read,25,05-04-2019 11:41
1.0,72.0,1,recognition,,Letter designer,sansforgetica,1.0,2805.4375,2988.75,2622.125,1.0,1.0,1.0,difficult to read,25,05-04-2019 11:41
1.0,72.0,2,lexical,,Letter designer,arial,0.75,2755.95,1598.3,3913.6,1.0,,,easy to read,50,05-04-2019 11:41
1.0,72.0,2,recognition,,Letter designer,arial,0.8125,1892.875,1975.875,1809.875,0.8515625,0.875,0.84375,easy to read,50,05-04-2019 11:41
1.0,144.0,1,lexical,,Non-designer,sansforgetica,1.0,2004.05,1520.8,2487.3,1.0,,,difficult to read,35,05-04-2019 09:45
1.0,144.0,1,recognition,,Non-designer,sansforgetica,0.875,2571.125,2474.75,2667.5,0.9140625,1.0,0.875,difficult to read,35,05-04-2019 09:45
1.0,144.0,2,lexical,,Non-designer,arial,1.0,1721.25,1449.3,1993.2,1.0,,,easy to read,41,05-04-2019 09:45
1.0,144.0,2,recognition,,Non-designer,arial,0.8125,1939.125,2026.0,1852.25,0.96875,0.9375,1.0,easy to read,41,05-04-2019 09:45
1.0,216.0,1,lexical,,Graphic designer,sansforgetica,0.8,3045.6,2411.0,3680.2,1.0,,,ok,60,05-04-2019 04:23
1.0,216.0,1,recognition,,Graphic designer,sansforgetica,0.875,2986.0,3022.625,2949.375,0.9296875,1.0,0.875,ok,60,05-04-2019 04:23
1.0,216.0,2,lexical,,Graphic designer,arial,0.9,2585.6,1915.0,3256.2,0.955,,,easy to read,46,05-04-2019 04:23
1.0,216.0,2,recognition,,Graphic designer,arial,0.6875,2480.125,2468.875,2491.375,0.8125,0.8125,0.8125,easy to read,46,05-04-2019 04:23
1.0,288.0,1,lexical,,Non-designer,arial,0.85,2631.55,1914.7,3348.4,1.0,,,very easy to read,69,04-04-2019 22:31
1.0,288.0,1,recognition,,Non-designer,arial,0.6875,2833.75,2537.125,3130.375,0.8359375,0.78125,0.875,very easy to read,69,04-04-2019 22:31
1.0,288.0,2,lexical,,Non-designer,sansforgetica,0.85,3084.85,2237.4,3932.3,1.0,,,very difficult to read,44,04-04-2019 22:31
1.0,288.0,2,recognition,,Non-designer,sansforgetica,0.8125,3106.1875,3226.125,2986.25,0.9296875,0.8125,1.0,very difficult to read,44,04-04-2019 22:31
